Doc_Cat,Estamps_Cat,district
<30%,<30%,Adilabad
30%+,30%+,Bhadradri Kothagudem
30%+,30%+,Hanumakonda
30%+,30%+,Hyderabad
50%+,50%+,Jagtial
50%+,50%+,Jangoan
<30%,<30%,Jayashankar Bhupalpally
<30%,30%+,Jogulamba Gadwal
30%+,30%+,Kamareddy
50%+,50%+,Karimnagar
30%+,30%+,Khammam
50%+,50%+,Kumurambheem Asifabad
50%+,50%+,Mahabubabad
30%+,30%+,Mahabubnagar
50%+,50%+,Mancherial
50%+,50%+,Medak
30%+,30%+,Medchal_Malkajgiri
50%+,50%+,Mulugu
50%+,50%+,Nagarkurnool
<30%,<30%,Nalgonda
<30%,30%+,Narayanpet
50%+,50%+,Nirmal
<30%,<30%,Nizamabad
30%+,30%+,Peddapalli
50%+,50%+,Rajanna Sircilla
30%+,30%+,Rangareddy
30%+,30%+,Sangareddy
50%+,50%+,Siddipet
30%+,30%+,Suryapet
50%+,50%+,Vikarabad
50%+,50%+,Wanaparthy
50%+,50%+,Warangal
50%+,50%+,Yadadri Bhuvanagiri
