sector,Sector_Type,sector2
Engineering,Engineering,Engineering
Pharmaceuticals and Chemicals,Pharma & Chemicals,Pharma & Chemicals
Plastic and Rubber,Plastic and Rubber,Plastic and Rubber
R&D,R&D,R&D
"Real Estate,Industrial Parks and IT Buildings",Real Estate,Real Estate
Automobile,Rest Others,Automobile
Textiles,Rest Others,Textiles
Beverages,Rest Others,Beverages
Others,Rest Others,Others
Granite and Stone Crushing,Rest Others,Granite & Stone
Agro based incl Cold Storages,Rest Others,Agro & Cold Storage
Food Processing,Rest Others,Food Processing
Paper and Printing,Rest Others,Paper and Printing
"Cement, Cement & Concrete Products, Fly Ash Bricks",Rest Others,"Cement, Concrete & Fly Ash Bricks"
Electrical and Electronic Products,Rest Others,Electronic Products
Industrial Parks and IT Buildings,Rest Others,Industrial Parks and IT Buildings
Solar and Other Renewable Energy,Rest Others,Renewable Energy
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Rest Others,Fertlizers & Related
Wood and Leather,Rest Others,Wood & Leather
Thermal Power Plant,Rest Others,Thermal Power Plant
