Year,Season,Agriculture,AutoRickshaw,MotorCar,MotorCycle,Vehicles
2019,Monsoon,12199,20181,66045,424232,522657
2019,Spring,4781,9875,36782,263888,315326
2019,Summer,7551,19327,51361,371261,449500
2019,Winter,4456,6567,29089,99948,140060
2020,Monsoon,21848,3087,80955,395218,501108
2020,Spring,9892,5808,18296,169759,203755
2020,Summer,16426,2193,51929,341339,411887
2020,Winter,18210,14475,69561,354324,456570
2021,Monsoon,12607,5912,72608,311220,402347
2021,Spring,13819,3336,65160,245375,327690
2021,Summer,18237,3011,75979,292019,389246
2021,Winter,12645,5096,78207,313875,409823
2022,Monsoon,8779,8057,56909,220508,294253
2022,Spring,8830,5461,78403,277197,369891
2022,Summer,10771,7175,79737,271461,369144
2022,Winter,6970,5184,63251,221495,296900
2023,Spring,3277,5570,30145,99725,138717
2023,Winter,4416,4830,32013,137143,178402
