sector,Investment_Cr,district
"Real Estate,Industrial Parks and IT Buildings",₹ 28970,Rangareddy
Plastic and Rubber,₹ 4993,Rangareddy
Pharmaceuticals and Chemicals,₹ 4001,Medchal_Malkajgiri
Pharmaceuticals and Chemicals,₹ 3548,Sangareddy
Plastic and Rubber,₹ 3434,Sangareddy
R&D,₹ 1767,Medchal_Malkajgiri
Engineering,₹ 1754,Rangareddy
Pharmaceuticals and Chemicals,₹ 1727,Rangareddy
Automobile,₹ 1290,Sangareddy
Textiles,₹ 1265,Rangareddy
Engineering,₹ 911,Medchal_Malkajgiri
"Real Estate,Industrial Parks and IT Buildings",₹ 776,Medchal_Malkajgiri
R&D,₹ 709,Sangareddy
Beverages,₹ 692,Sangareddy
Others,₹ 688,Rangareddy
Granite and Stone Crushing,₹ 632,Rangareddy
Engineering,₹ 613,Sangareddy
Plastic and Rubber,₹ 609,Medchal_Malkajgiri
Others,₹ 587,Medchal_Malkajgiri
Agro based incl Cold Storages,₹ 450,Medchal_Malkajgiri
Food Processing,₹ 449,Sangareddy
Food Processing,₹ 448,Medchal_Malkajgiri
Others,₹ 429,Sangareddy
R&D,₹ 423,Rangareddy
Paper and Printing,₹ 394,Rangareddy
"Cement, Cement & Concrete Products, Fly Ash Bricks",₹ 365,Rangareddy
Electrical and Electronic Products,₹ 332,Sangareddy
Industrial Parks and IT Buildings,₹ 280,Rangareddy
Automobile,₹ 275,Rangareddy
Electrical and Electronic Products,₹ 270,Rangareddy
Food Processing,₹ 270,Rangareddy
Solar and Other Renewable Energy,₹ 269,Rangareddy
Granite and Stone Crushing,₹ 250,Medchal_Malkajgiri
Solar and Other Renewable Energy,₹ 248,Sangareddy
Paper and Printing,₹ 204,Medchal_Malkajgiri
Electrical and Electronic Products,₹ 198,Medchal_Malkajgiri
Granite and Stone Crushing,₹ 140,Sangareddy
Paper and Printing,₹ 132,Sangareddy
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",₹ 90,Sangareddy
"Cement, Cement & Concrete Products, Fly Ash Bricks",₹ 87,Sangareddy
Textiles,₹ 82,Medchal_Malkajgiri
Agro based incl Cold Storages,₹ 77,Sangareddy
Agro based incl Cold Storages,₹ 77,Rangareddy
"Cement, Cement & Concrete Products, Fly Ash Bricks",₹ 69,Medchal_Malkajgiri
Textiles,₹ 48,Sangareddy
Wood and Leather,₹ 34,Rangareddy
Wood and Leather,₹ 29,Sangareddy
"Real Estate,Industrial Parks and IT Buildings",₹ 21,Sangareddy
Wood and Leather,₹ 20,Medchal_Malkajgiri
Beverages,₹ 17,Rangareddy
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",₹ 7,Medchal_Malkajgiri
Automobile,₹ 7,Medchal_Malkajgiri
Beverages,₹ 6,Medchal_Malkajgiri
Solar and Other Renewable Energy,₹ 2,Medchal_Malkajgiri
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",₹ 1,Rangareddy
